txn_id,value_date,utr,credited_amount,narration
TXN0001,2026-08-04,UTR202608000001,4325.74,Razorpay Settlement UTR202608000001
TXN0002,2026-08-09,UTR202608000002,4957.76,Razorpay Settlement UTR202608000002
TXN0003,2026-08-14,UTR202608000003,6528.16,Razorpay Settlement UTR202608000003
TXN0004,2026-08-19,UTR202608000004,5606.22,Razorpay Settlement UTR202608000004
TXN0005,2026-08-24,UTR202608000005,7364.10,Razorpay Settlement UTR202608000005
TXN0006,2026-08-29,UTR202608000006,5346.25,Razorpay Settlement UTR202608000006
TXN0007,2026-08-08,UTR202608000007,5331.76,Razorpay Settlement UTR202608000007
TXN0008,2026-08-13,UTR202608000008,9564.59,Razorpay Settlement UTR202608000008
TXN0009,2026-08-18,UTR202608000009,7250.06,Razorpay Settlement UTR202608000009
TXN0010,2026-08-23,UTR202608000010,4427.21,Razorpay Settlement UTR202608000010
TXN0011,2026-08-28,UTR202608000011,3447.28,Razorpay Settlement UTR202608000011
TXN0012,2026-08-07,UTR202608000012,9488.25,Razorpay Settlement UTR202608000012
TXN0013,2026-08-12,UTR202608000013,5525.04,Razorpay Settlement UTR202608000013
TXN0014,2026-08-17,UTR202608000014,8722.86,Razorpay Settlement UTR202608000014
TXN0015,2026-08-22,UTR202608000015,6273.03,Razorpay Settlement UTR202608000015
TXN0016,2026-08-27,UTR202608000016,9265.97,Razorpay Settlement UTR202608000016
TXN0017,2026-08-06,UTR202608000017,7147.62,Razorpay Settlement UTR202608000017
TXN0018,2026-08-11,UTR202608000018,7477.17,Razorpay Settlement UTR202608000018
TXN0019,2026-08-16,UTR202608000019,5486.38,Razorpay Settlement UTR202608000019
TXN0020,2026-08-21,UTR202608000020,5154.91,Razorpay Settlement UTR202608000020
TXN0021,2026-08-26,UTR202608000021,7589.27,Razorpay Settlement UTR202608000021
TXN0022,2026-08-05,UTR202608000022,5559.83,Razorpay Settlement UTR202608000022
TXN0023,2026-08-10,UTR202608000023,3837.70,Razorpay Settlement UTR202608000023
TXN0024,2026-08-15,UTR202608000024,8763.45,Razorpay Settlement UTR202608000024
TXN0025,2026-08-20,UTR202608000025,4433.97,Razorpay Settlement UTR202608000025
TXN0026,2026-08-25,UTR202608000026,4083.17,Razorpay Settlement UTR202608000026
TXN0027,2026-08-04,UTR202608000027,6229.54,Razorpay Settlement UTR202608000027
TXN0028,2026-08-09,UTR202608000028,5812.06,Razorpay Settlement UTR202608000028
TXN0029,2026-08-14,UTR202608000029,7266.49,Razorpay Settlement UTR202608000029
TXN0030,2026-08-19,UTR202608000030,8802.10,Razorpay Settlement UTR202608000030
TXN0031,2026-08-25,UTR202608000031,3805.81,Razorpay Settlement UTR202608000031
TXN0032,2026-08-04,UTR202608000032,4930.70,Razorpay Settlement UTR202608000032
TXN0033,2026-08-09,UTR202608000033,8859.12,Razorpay Settlement UTR202608000033
TXN0034,2026-08-14,UTR202608000034,6628.67,Razorpay Settlement UTR202608000034
TXN0035,2026-08-19,UTR202608000035,5490.25,Razorpay Settlement UTR202608000035
TXN0036,2026-08-24,UTR202608000036,3599.00,Razorpay Settlement UTR202608000036
TXN0037,2026-08-29,UTR202608000037,4795.41,Razorpay Settlement UTR202608000037
TXN0038,2026-08-08,UTR202608000038,7907.21,Razorpay Settlement UTR202608000038
TXN0039,2026-08-13,UTR202608000039,8489.95,Razorpay Settlement UTR202608000039
TXN0040,2026-08-18,UTR202608000040,5402.31,Razorpay Settlement UTR202608000040
TXN0041,2026-08-23,UTR202608000041,7971.00,Razorpay Settlement UTR202608000041
TXN0042,2026-08-28,UTR202608000042,7140.86,Razorpay Settlement UTR202608000042
TXN0043,2026-08-07,UTR202608000043,5493.15,Razorpay Settlement UTR202608000043
TXN0044,2026-08-12,UTR202608000044,4091.87,Razorpay Settlement UTR202608000044
TXN0045,2026-08-17,UTR202608000045,4348.93,Razorpay Settlement UTR202608000045
TXN0046,2026-08-22,UTR202608000046,9331.69,Razorpay Settlement UTR202608000046
TXN0047,2026-08-27,UTR202608000047,6430.56,Razorpay Settlement UTR202608000047
TXN0048,2026-08-06,UTR202608000048,7834.73,Razorpay Settlement UTR202608000048
TXN0049,2026-08-11,UTR202608000049,6864.47,Razorpay Settlement UTR202608000049
TXN0050,2026-08-16,UTR202608000050,3480.14,Razorpay Settlement UTR202608000050
TXN0051,2026-08-21,UTR202608000051,8356.59,Razorpay Settlement UTR202608000051
TXN0052,2026-08-26,UTR202608000052,10100.09,Razorpay Settlement UTR202608000052
TXN0053,2026-08-15,UTR202608000053,14423.77,Razorpay Settlement UTR202608000053
TXN0054,2026-08-25,UTR202608000054,14894.40,Razorpay Settlement UTR202608000054
TXN0055,2026-08-09,UTR202608000055,13159.72,Razorpay Settlement UTR202608000055
TXN0056,2026-08-20,UTR202608000056,11262.67,Razorpay Settlement UTR202608000056
TXN0057,2026-08-25,UTR202608000057,11967.18,Razorpay Settlement UTR202608000057
TXN0058,2026-08-14,UTR202608000058,9181.05,Razorpay Settlement UTR202608000058
TXN0059,2026-08-24,UTR202608000059,8552.89,Razorpay Settlement UTR202608000059
TXN0060,2026-08-29,UTR202608000060,12570.21,Razorpay Settlement UTR202608000060
TXN0061,2026-08-18,UTR202608000061,13734.72,Razorpay Settlement UTR202608000061
TXN0062,2026-08-28,UTR202608000062,12982.87,Razorpay Settlement UTR202608000062
TXN0063,2026-08-12,UTR202608000063,14985.25,Razorpay Settlement UTR202608000063
TXN0064,2026-08-22,UTR202608000064,9947.40,Razorpay Settlement UTR202608000064
TXN0065,2026-08-27,UTR202608000065,9889.42,Razorpay Settlement UTR202608000065
TXN0066,2026-08-16,UTR202608000066,15939.08,Razorpay Settlement UTR202608000066
TXN0067,2026-08-26,UTR202608000067,13056.31,Razorpay Settlement UTR202608000067
TXN0068,2026-08-10,UTR202608000068,13117.20,Razorpay Settlement UTR202608000068
TXN0069,2026-08-20,UTR202608000069,13439.97,Razorpay Settlement UTR202608000069
TXN0070,2026-08-25,UTR202608000070,14597.72,Razorpay Settlement UTR202608000070
TXN0071,2026-08-15,UTR202608000071,12369.20,Razorpay Settlement UTR202608000071
TXN0072,2026-08-25,UTR202608000072,8388.60,Razorpay Settlement UTR202608000072
TXN0073,2026-08-09,UTR202608000073,12141.13,Razorpay Settlement UTR202608000073
TXN0074,2026-08-19,UTR202608000074,10587.16,Razorpay Settlement UTR202608000074
TXN0075,2026-08-29,UTR202608000075,13588.80,Razorpay Settlement UTR202608000075
TXN0076,2026-08-13,UTR202608000076,16116.90,Razorpay Settlement UTR202608000076
TXN0077,2026-08-23,UTR202608000077,15997.07,Razorpay Settlement UTR202608000077
TXN0078,2026-08-28,UTR202608000078,15667.52,Razorpay Settlement UTR202608000078
TXN0079,2026-08-17,UTR202608000079,13927.04,Razorpay Settlement UTR202608000079
TXN0080,2026-08-27,UTR202608000080,13836.20,Razorpay Settlement UTR202608000080
TXN0081,2026-08-11,UTR202608000081,9190.71,Razorpay Settlement UTR202608000081
TXN0082,2026-08-21,UTR202608000082,14009.18,Razorpay Settlement UTR202608000082
TXN0083,2026-08-26,UTR202608000083,12214.58,Razorpay Settlement UTR202608000083
TXN0084,2026-08-15,UTR202608000084,14469.19,Razorpay Settlement UTR202608000084
TXN0085,2026-08-25,UTR202608000085,15135.04,Razorpay Settlement UTR202608000085
TXN0086,2026-08-10,UTR202608000086,15654.96,Razorpay Settlement UTR202608000086
TXN0087,2026-08-20,UTR202608000087,14092.29,Razorpay Settlement UTR202608000087
TXN0088,2026-08-25,UTR202608000088,12803.12,Razorpay Settlement UTR202608000088
TXN0089,2026-08-14,UTR202608000089,11080.99,Razorpay Settlement UTR202608000089
TXN0090,2026-08-24,UTR202608000090,12901.69,Razorpay Settlement UTR202608000090
TXN0091,2026-08-29,UTR202608000091,12120.84,Razorpay Settlement UTR202608000091
TXN0092,2026-08-18,UTR202608000092,10490.52,Razorpay Settlement UTR202608000092
TXN0093,2026-08-28,UTR202608000093,12801.18,Razorpay Settlement UTR202608000093
TXN0094,2026-08-12,UTR202608000094,12250.33,Razorpay Settlement UTR202608000094
TXN0095,2026-08-22,UTR202608000095,10432.54,Razorpay Settlement UTR202608000095
TXN0096,2026-08-27,UTR202608000096,12107.31,Razorpay Settlement UTR202608000096
TXN0097,2026-08-16,UTR202608000097,12762.53,Razorpay Settlement UTR202608000097
TXN0098,2026-08-26,UTR202608000098,12824.38,Razorpay Settlement UTR202608000098
TXN0099,2026-08-10,UTR202608000099,17061.07,Razorpay Settlement UTR202608000099
TXN0100,2026-08-20,UTR202608000100,10100.09,Razorpay Settlement UTR202608000100
TXN0101,2026-08-25,UTR202608000101,9826.60,Razorpay Settlement UTR202608000101
TXN0102,2026-08-15,UTR202608000102,10978.55,Razorpay Settlement UTR202608000102
