settlement_id,utr,settlement_date,gross_amount,razorpay_fee,gst_on_fee,tds_deducted,net_amount
SET0001,UTR202608000001,2026-08-03,4476.13,89.52,16.11,44.76,4325.74
SET0002,UTR202608000002,2026-08-08,5130.13,102.60,18.47,51.30,4957.76
SET0003,UTR202608000003,2026-08-13,6755.13,135.10,24.32,67.55,6528.16
SET0004,UTR202608000004,2026-08-18,5801.13,116.02,20.88,58.01,5606.22
SET0005,UTR202608000005,2026-08-23,7620.13,152.40,27.43,76.20,7364.10
SET0006,UTR202608000006,2026-08-28,5532.13,110.64,19.92,55.32,5346.25
SET0007,UTR202608000007,2026-08-07,5517.13,110.34,19.86,55.17,5331.76
SET0008,UTR202608000008,2026-08-12,9897.13,197.94,35.63,98.97,9564.59
SET0009,UTR202608000009,2026-08-17,7502.13,150.04,27.01,75.02,7250.06
SET0010,UTR202608000010,2026-08-22,4581.13,91.62,16.49,45.81,4427.21
SET0011,UTR202608000011,2026-08-27,3567.13,71.34,12.84,35.67,3447.28
SET0012,UTR202608000012,2026-08-06,9818.13,196.36,35.34,98.18,9488.25
SET0013,UTR202608000013,2026-08-11,5717.13,114.34,20.58,57.17,5525.04
SET0014,UTR202608000014,2026-08-16,9026.13,180.52,32.49,90.26,8722.86
SET0015,UTR202608000015,2026-08-21,6491.13,129.82,23.37,64.91,6273.03
SET0016,UTR202608000016,2026-08-26,9588.13,191.76,34.52,95.88,9265.97
SET0017,UTR202608000017,2026-08-05,7396.13,147.92,26.63,73.96,7147.62
SET0018,UTR202608000018,2026-08-10,7737.13,154.74,27.85,77.37,7477.17
SET0019,UTR202608000019,2026-08-15,5677.13,113.54,20.44,56.77,5486.38
SET0020,UTR202608000020,2026-08-20,5334.13,106.68,19.20,53.34,5154.91
SET0021,UTR202608000021,2026-08-25,7853.13,157.06,28.27,78.53,7589.27
SET0022,UTR202608000022,2026-08-04,5753.13,115.06,20.71,57.53,5559.83
SET0023,UTR202608000023,2026-08-09,3971.13,79.42,14.30,39.71,3837.70
SET0024,UTR202608000024,2026-08-14,9068.13,181.36,32.64,90.68,8763.45
SET0025,UTR202608000025,2026-08-19,4588.13,91.76,16.52,45.88,4433.97
SET0026,UTR202608000026,2026-08-24,4225.13,84.50,15.21,42.25,4083.17
SET0027,UTR202608000027,2026-08-03,6446.13,128.92,23.21,64.46,6229.54
SET0028,UTR202608000028,2026-08-08,6014.13,120.28,21.65,60.14,5812.06
SET0029,UTR202608000029,2026-08-13,7519.13,150.38,27.07,75.19,7266.49
SET0030,UTR202608000030,2026-08-18,9108.13,182.16,32.79,91.08,8802.10
SET0031,UTR202608000031,2026-08-24,3938.13,78.76,14.18,39.38,3805.81
SET0032,UTR202608000032,2026-08-03,5102.13,102.04,18.37,51.02,4930.70
SET0033,UTR202608000033,2026-08-08,9167.13,183.34,33.00,91.67,8859.12
SET0034,UTR202608000034,2026-08-13,6859.13,137.18,24.69,68.59,6628.67
SET0035,UTR202608000035,2026-08-18,5681.13,113.62,20.45,56.81,5490.25
SET0036,UTR202608000036,2026-08-23,3724.13,74.48,13.41,37.24,3599.00
SET0037,UTR202608000037,2026-08-28,4962.13,99.24,17.86,49.62,4795.41
SET0038,UTR202608000038,2026-08-07,8182.13,163.64,29.46,81.82,7907.21
SET0039,UTR202608000039,2026-08-12,8785.13,175.70,31.63,87.85,8489.95
SET0040,UTR202608000040,2026-08-17,5590.13,111.80,20.12,55.90,5402.31
SET0041,UTR202608000041,2026-08-22,8248.13,164.96,29.69,82.48,7971.00
SET0042,UTR202608000042,2026-08-27,7389.13,147.78,26.60,73.89,7140.86
SET0043,UTR202608000043,2026-08-06,5684.13,113.68,20.46,56.84,5493.15
SET0044,UTR202608000044,2026-08-11,4234.13,84.68,15.24,42.34,4091.87
SET0045,UTR202608000045,2026-08-16,4500.13,90.00,16.20,45.00,4348.93
SET0046,UTR202608000046,2026-08-21,9656.13,193.12,34.76,96.56,9331.69
SET0047,UTR202608000047,2026-08-26,6654.13,133.08,23.95,66.54,6430.56
SET0048,UTR202608000048,2026-08-05,8107.13,162.14,29.19,81.07,7834.73
SET0049,UTR202608000049,2026-08-10,7103.13,142.06,25.57,71.03,6864.47
SET0050,UTR202608000050,2026-08-15,3601.13,72.02,12.96,36.01,3480.14
SET0051,UTR202608000051,2026-08-20,8647.13,172.94,31.13,86.47,8356.59
SET0052,UTR202608000052,2026-08-25,10451.26,209.03,37.63,104.51,10100.09
SET0053,UTR202608000053,2026-08-14,14925.26,298.51,53.73,149.25,14423.77
