order_id,order_date,gross_amount,customer_id,status
ORD0001,2026-08-01,4476.13,CUST0001,PAID
ORD0002,2026-08-06,5130.13,CUST0002,PAID
ORD0003,2026-08-11,6755.13,CUST0003,PAID
ORD0004,2026-08-16,5801.13,CUST0004,PAID
ORD0005,2026-08-21,7620.13,CUST0005,PAID
ORD0006,2026-08-26,5532.13,CUST0006,PAID
ORD0007,2026-08-05,5517.13,CUST0007,PAID
ORD0008,2026-08-10,9897.13,CUST0008,PAID
ORD0009,2026-08-15,7502.13,CUST0009,PAID
ORD0010,2026-08-20,4581.13,CUST0010,PAID
ORD0011,2026-08-25,3567.13,CUST0011,PAID
ORD0012,2026-08-04,9818.13,CUST0012,PAID
ORD0013,2026-08-09,5717.13,CUST0013,PAID
ORD0014,2026-08-14,9026.13,CUST0014,PAID
ORD0015,2026-08-19,6491.13,CUST0015,PAID
ORD0016,2026-08-24,9588.13,CUST0016,PAID
ORD0017,2026-08-03,7396.13,CUST0017,PAID
ORD0018,2026-08-08,7737.13,CUST0018,PAID
ORD0019,2026-08-13,5677.13,CUST0019,PAID
ORD0020,2026-08-18,5334.13,CUST0020,PAID
ORD0021,2026-08-23,7853.13,CUST0021,PAID
ORD0022,2026-08-02,5753.13,CUST0022,PAID
ORD0023,2026-08-07,3971.13,CUST0023,PAID
ORD0024,2026-08-12,9068.13,CUST0024,PAID
ORD0025,2026-08-17,4588.13,CUST0025,PAID
ORD0026,2026-08-22,4225.13,CUST0026,PAID
ORD0027,2026-08-01,6446.13,CUST0027,PAID
ORD0028,2026-08-06,6014.13,CUST0028,PAID
ORD0029,2026-08-11,7519.13,CUST0029,PAID
ORD0030,2026-08-16,9108.13,CUST0030,PAID
ORD0031,2026-08-22,3938.13,CUST0031,PAID
ORD0032,2026-08-01,5102.13,CUST0032,PAID
ORD0033,2026-08-06,9167.13,CUST0033,PAID
ORD0034,2026-08-11,6859.13,CUST0034,PAID
ORD0035,2026-08-16,5681.13,CUST0035,PAID
ORD0036,2026-08-21,3724.13,CUST0036,PAID
ORD0037,2026-08-26,4962.13,CUST0037,PAID
ORD0038,2026-08-05,8182.13,CUST0038,PAID
ORD0039,2026-08-10,8785.13,CUST0039,PAID
ORD0040,2026-08-15,5590.13,CUST0040,PAID
ORD0041,2026-08-20,8248.13,CUST0041,PAID
ORD0042,2026-08-25,7389.13,CUST0042,PAID
ORD0043,2026-08-04,5684.13,CUST0043,PAID
ORD0044,2026-08-09,4234.13,CUST0044,PAID
ORD0045,2026-08-14,4500.13,CUST0045,PAID
ORD0046,2026-08-19,9656.13,CUST0046,PAID
ORD0047,2026-08-24,6654.13,CUST0047,PAID
ORD0048,2026-08-03,8107.13,CUST0048,PAID
ORD0049,2026-08-08,7103.13,CUST0049,PAID
ORD0050,2026-08-13,3601.13,CUST0050,PAID
ORD0051,2026-08-18,8647.13,CUST0051,PAID
ORD0052,2026-08-23,6550.13,CUST0052,PAID
ORD0053,2026-08-02,3901.13,CUST0053,PAID
ORD0054,2026-08-07,7039.13,CUST0054,PAID
ORD0055,2026-08-12,7886.13,CUST0055,PAID
ORD0056,2026-08-17,7659.13,CUST0056,PAID
