txn_id,value_date,utr,credited_amount,narration
TXN-000001,2026-07-03,UTR-000001,7521.59,NEFT-RAZORPAY-UTR-000001
TXN-ORPHAN-003,2026-07-03,UTR-ORPHAN-003,3689.53,NEFT-UNKNOWN-CREDIT
TXN-000002,2026-07-06,UTR-000002,2136.29,NEFT-RAZORPAY-UTR-000002
TXN-ORPHAN-001,2026-07-08,UTR-ORPHAN-001,2233.38,NEFT-UNKNOWN-CREDIT
TXN-000004,2026-07-10,UTR-000004,3535.28,NEFT-RAZORPAY-UTR-000004
TXN-000005,2026-07-10,UTR-000005,2806.07,NEFT-RAZORPAY-UTR-000005
TXN-000006,2026-07-15,UTR-000006,2133.37,NEFT-RAZORPAY-UTR-000006
TXN-000008,2026-07-17,UTR-000008,5036.38,NEFT-RAZORPAY-UTR-000008
TXN-000009,2026-07-19,UTR-000009,1555.72,NEFT-RAZORPAY-UTR-000009
TXN-000010,2026-07-22,UTR-000010,4387.66,NEFT-RAZORPAY-UTR-000010
TXN-000011,2026-07-25,UTR-000011,4820.37,NEFT-RAZORPAY-UTR-000011
TXN-000012,2026-07-28,UTR-000012,4917.82,NEFT-RAZORPAY-UTR-000012
TXN-000013,2026-07-30,UTR-000013,3076.86,NEFT-RAZORPAY-UTR-000013
TXN-000014,2026-08-03,UTR-000014,2784.21,NEFT-RAZORPAY-UTR-000014
TXN-000015,2026-08-03,UTR-000015,3447.83,NEFT-RAZORPAY-UTR-000015
TXN-000016,2026-08-06,UTR-000016,4215.92,NEFT-RAZORPAY-UTR-000016
TXN-ORPHAN-002,2026-08-06,UTR-ORPHAN-002,1355.35,NEFT-UNKNOWN-CREDIT
TXN-000017,2026-08-08,UTR-000017,2691.01,NEFT-RAZORPAY-UTR-000017
TXN-000018,2026-08-10,UTR-000018,4143.45,NEFT-RAZORPAY-UTR-000018
TXN-000020,2026-08-11,UTR-000020,3087.89,NEFT-RAZORPAY-UTR-000020
TXN-000021,2026-08-12,UTR-000021,4523.66,NEFT-RAZORPAY-UTR-000021
TXN-000022,2026-08-13,UTR-000022,1530.7,NEFT-RAZORPAY-UTR-000022
TXN-000023,2026-08-18,UTR-000023,8549.92,NEFT-RAZORPAY-UTR-000023
TXN-000024,2026-08-20,UTR-000024,4600.85,NEFT-RAZORPAY-UTR-000024
TXN-000025,2026-08-24,UTR-000025,8106.53,NEFT-RAZORPAY-UTR-000025
TXN-000026,2026-08-25,UTR-000026,2388.41,NEFT-RAZORPAY-UTR-000026
TXN-000027,2026-08-26,UTR-000027,1561.29,NEFT-RAZORPAY-UTR-000027
TXN-000028,2026-08-26,UTR-000028,3834.15,NEFT-RAZORPAY-UTR-000028
TXN-000029,2026-08-27,UTR-000029,4420.69,NEFT-RAZORPAY-UTR-000029
TXN-000031,2026-08-31,UTR-000031,3628.92,NEFT-RAZORPAY-UTR-000031
TXN-000032,2026-09-03,UTR-000032,3994.85,NEFT-RAZORPAY-UTR-000032
TXN-000033,2026-09-04,UTR-000033,7949.7,NEFT-RAZORPAY-UTR-000033
TXN-000034,2026-09-07,UTR-000034,3650.05,NEFT-RAZORPAY-UTR-000034
TXN-000035,2026-09-09,UTR-000035,1310.38,NEFT-RAZORPAY-UTR-000035
TXN-000037,2026-09-13,UTR-000037,4697.17,NEFT-RAZORPAY-UTR-000037
TXN-000036,2026-09-14,UTR-000036,5980.7,NEFT-RAZORPAY-UTR-000036
TXN-000039,2026-09-18,UTR-000039,1199.17,NEFT-RAZORPAY-UTR-000039
TXN-000040,2026-09-21,UTR-000040,4310.0,NEFT-RAZORPAY-UTR-000040
TXN-000041,2026-09-22,UTR-000041,4569.64,NEFT-RAZORPAY-UTR-000041
TXN-000042,2026-09-22,UTR-000042,3419.57,NEFT-RAZORPAY-UTR-000042
TXN-000044,2026-09-23,UTR-000044,4165.35,NEFT-RAZORPAY-UTR-000044
TXN-000043,2026-09-24,UTR-000043,4578.02,NEFT-RAZORPAY-UTR-000043
TXN-000045,2026-09-25,UTR-000045,1521.2,NEFT-RAZORPAY-UTR-000045
TXN-000046,2026-09-27,UTR-000046,2471.57,NEFT-RAZORPAY-UTR-000046
TXN-000047,2026-10-01,UTR-000047,3484.99,NEFT-RAZORPAY-UTR-000047
TXN-000048,2026-10-02,UTR-000048,4306.98,NEFT-RAZORPAY-UTR-000048
TXN-000050,2026-10-05,UTR-000050,3143.26,NEFT-RAZORPAY-UTR-000050
TXN-000051,2026-10-07,UTR-000051,4535.22,NEFT-RAZORPAY-UTR-000051
TXN-000052,2026-10-11,UTR-000052,985.18,NEFT-RAZORPAY-UTR-000052
TXN-000053,2026-10-13,UTR-000053,1667.59,NEFT-RAZORPAY-UTR-000053
