settlement_id,utr,settlement_date,gross_amount,razorpay_fee,gst_on_fee,tds_deducted,net_amount
STL-0001,UTR-000001,2026-07-03,7783.1,155.66,28.02,77.83,7521.59
STL-0002,UTR-000002,2026-07-04,2210.57,44.21,7.96,22.11,2136.29
STL-0003,UTR-000003,2026-07-06,1231.94,24.64,4.44,12.32,1190.54
STL-0004,UTR-000004,2026-07-08,3658.19,73.16,13.17,36.58,3535.28
STL-0005,UTR-000005,2026-07-10,2903.63,58.07,10.45,29.04,2806.07
STL-0006,UTR-000006,2026-07-13,2207.55,44.15,7.95,22.08,2133.37
STL-0008,UTR-000008,2026-07-16,5211.48,104.23,18.76,52.11,5036.38
STL-0009,UTR-000009,2026-07-18,1609.82,32.2,5.8,16.1,1555.72
STL-0010,UTR-000010,2026-07-21,4540.2,90.8,16.34,45.4,4387.66
STL-0011,UTR-000011,2026-07-23,4987.97,99.76,17.96,49.88,4820.37
STL-0012,UTR-000012,2026-07-26,5088.81,101.78,18.32,50.89,4917.82
STL-0013,UTR-000013,2026-07-29,3183.84,63.68,11.46,31.84,3076.86
STL-0014,UTR-000014,2026-08-01,2881.01,57.62,10.37,28.81,2784.21
STL-0015,UTR-000015,2026-08-02,3567.7,71.35,12.84,35.68,3447.83
STL-0016,UTR-000016,2026-08-04,4362.51,87.25,15.71,43.63,4215.92
STL-0017,UTR-000017,2026-08-06,2784.57,55.69,10.02,27.85,2691.01
STL-0018,UTR-000018,2026-08-08,4287.51,85.75,15.43,42.88,4143.45
STL-0019,UTR-000019,2026-08-10,1187.78,23.76,4.28,11.88,1147.86
STL-0020,UTR-000020,2026-08-11,3195.25,63.91,11.5,31.95,3087.89
STL-0021,UTR-000021,2026-08-12,4680.94,93.62,16.85,46.81,4523.66
STL-0022,UTR-000022,2026-08-13,1583.92,31.68,5.7,15.84,1530.7
STL-0023,UTR-000023,2026-08-16,8847.18,176.94,31.85,88.47,8549.92
STL-0024,UTR-000024,2026-08-19,4760.82,95.22,17.14,47.61,4600.85
STL-0025,UTR-000025,2026-08-22,8388.38,167.77,30.2,83.88,8106.53
STL-0026,UTR-000026,2026-08-24,2471.45,49.43,8.9,24.71,2388.41
STL-0027,UTR-000027,2026-08-25,1615.58,32.31,5.82,16.16,1561.29
STL-0028,UTR-000028,2026-08-26,3967.45,79.35,14.28,39.67,3834.15
STL-0029,UTR-000029,2026-08-27,4574.39,91.49,16.47,45.74,4420.69
STL-0030,UTR-000030,2026-08-29,1753.15,35.06,6.31,17.53,1694.25
STL-0031,UTR-000031,2026-08-31,3755.09,75.1,13.52,37.55,3628.92
STL-0032,UTR-000032,2026-09-03,4133.74,82.67,14.88,41.34,3994.85
STL-0033,UTR-000033,2026-09-04,8226.09,164.52,29.61,82.26,7949.7
STL-0034,UTR-000034,2026-09-07,3776.96,75.54,13.6,37.77,3650.05
STL-0035,UTR-000035,2026-09-09,1355.94,27.12,4.88,13.56,1310.38
STL-0036,UTR-000036,2026-09-12,6188.64,123.77,22.28,61.89,5980.7
STL-0037,UTR-000037,2026-09-13,4860.48,97.21,17.5,48.6,4697.17
STL-0038,UTR-000038,2026-09-16,2685.39,53.71,9.67,26.85,2595.16
STL-0039,UTR-000039,2026-09-17,1240.87,24.82,4.47,12.41,1199.17
STL-0040,UTR-000040,2026-09-19,4459.86,89.2,16.06,44.6,4310.0
STL-0041,UTR-000041,2026-09-20,4728.52,94.57,17.02,47.29,4569.64
STL-0042,UTR-000042,2026-09-21,3538.46,70.77,12.74,35.38,3419.57
STL-0043,UTR-000043,2026-09-22,4737.18,94.74,17.05,47.37,4578.02
STL-0044,UTR-000044,2026-09-23,4310.17,86.2,15.52,43.1,4165.35
STL-0045,UTR-000045,2026-09-25,1574.09,31.48,5.67,15.74,1521.2
STL-0046,UTR-000046,2026-09-27,2557.51,51.15,9.21,25.58,2471.57
STL-0047,UTR-000047,2026-09-30,3606.15,72.12,12.98,36.06,3484.99
STL-0048,UTR-000048,2026-10-01,4456.72,89.13,16.04,44.57,4306.98
STL-0049,UTR-000049,2026-10-03,2471.83,49.44,8.9,24.72,2388.77
STL-0050,UTR-000050,2026-10-05,3252.55,65.05,11.71,32.53,3143.26
STL-0051,UTR-000051,2026-10-07,4692.9,93.86,16.89,46.93,4535.22
STL-0052,UTR-000052,2026-10-09,1019.43,20.39,3.67,10.19,985.18
STL-0053,UTR-000053,2026-10-11,1725.57,34.51,6.21,17.26,1667.59
