order_id,order_date,gross_amount,customer_id,status
ORD-0001,2026-07-01,3098.08,CUST-2139,paid
ORD-0002,2026-07-01,706.21,CUST-4733,paid
ORD-0003,2026-07-01,3978.81,CUST-2307,paid
ORD-0004,2026-07-02,2210.57,CUST-8428,paid
ORD-0005,2026-07-04,1231.94,CUST-6820,paid
ORD-0006,2026-07-06,3658.19,CUST-2169,paid
ORD-0007,2026-07-08,2903.63,CUST-5010,paid
ORD-0008,2026-07-11,2207.55,CUST-4598,paid
ORD-0009,2026-07-13,4292.83,CUST-1916,paid
ORD-0010,2026-07-14,2305.24,CUST-2084,paid
ORD-0011,2026-07-14,1449.42,CUST-6155,paid
ORD-0012,2026-07-14,1456.82,CUST-9179,paid
ORD-0013,2026-07-14,2166.2,CUST-8517,paid
ORD-0014,2026-07-14,3045.28,CUST-3340,paid
ORD-0015,2026-07-16,1609.82,CUST-9830,paid
ORD-0016,2026-07-19,4540.2,CUST-7543,paid
ORD-0017,2026-07-21,4987.97,CUST-3266,paid
ORD-0018,2026-07-24,3901.02,CUST-2796,paid
ORD-0019,2026-07-24,1187.79,CUST-3621,paid
ORD-0020,2026-07-27,3183.84,CUST-7304,paid
ORD-0021,2026-07-30,2881.01,CUST-1188,paid
ORD-0022,2026-07-31,3567.7,CUST-9797,paid
ORD-0023,2026-08-02,1820.75,CUST-3591,paid
ORD-0024,2026-08-02,2541.76,CUST-5315,paid
ORD-0025,2026-08-04,2784.57,CUST-2743,paid
ORD-0026,2026-08-06,4287.51,CUST-9317,paid
ORD-0027,2026-08-08,1187.78,CUST-3646,paid
ORD-0028,2026-08-09,3195.25,CUST-9005,paid
ORD-0029,2026-08-10,4680.94,CUST-6038,paid
ORD-0030,2026-08-11,1583.92,CUST-2290,paid
ORD-0031,2026-08-14,4900.93,CUST-9727,paid
ORD-0032,2026-08-14,3946.25,CUST-3103,paid
ORD-0033,2026-08-17,4760.82,CUST-3705,paid
ORD-0034,2026-08-20,4680.11,CUST-4295,paid
ORD-0035,2026-08-20,3708.27,CUST-7537,paid
ORD-0036,2026-08-22,2471.45,CUST-9479,paid
ORD-0037,2026-08-23,1615.58,CUST-2049,paid
ORD-0038,2026-08-24,3147.98,CUST-1117,paid
ORD-0039,2026-08-24,819.47,CUST-1964,paid
ORD-0040,2026-08-25,4574.39,CUST-6413,paid
ORD-0041,2026-08-27,1753.15,CUST-8953,paid
ORD-0042,2026-08-29,3755.09,CUST-8744,paid
ORD-0043,2026-09-01,4133.74,CUST-4119,paid
ORD-0044,2026-09-02,2094.34,CUST-7735,paid
ORD-0045,2026-09-02,2601.61,CUST-1887,paid
ORD-0046,2026-09-02,3530.14,CUST-2612,paid
ORD-0047,2026-09-05,3776.96,CUST-2790,paid
ORD-0048,2026-09-07,1355.94,CUST-8350,paid
ORD-0049,2026-09-10,1753.45,CUST-5092,paid
ORD-0050,2026-09-10,4435.19,CUST-2235,paid
ORD-0051,2026-09-10,2799.25,CUST-2604,paid
ORD-0052,2026-09-10,3389.39,CUST-1828,paid
ORD-0053,2026-09-11,4860.48,CUST-4872,paid
ORD-0054,2026-09-14,2685.39,CUST-4502,paid
ORD-0055,2026-09-15,1240.87,CUST-1035,paid
ORD-0056,2026-09-17,1783.62,CUST-8973,paid
ORD-0057,2026-09-17,1196.59,CUST-5861,paid
ORD-0058,2026-09-17,1479.65,CUST-1958,paid
ORD-0059,2026-09-18,757.24,CUST-8811,paid
ORD-0060,2026-09-18,2762.83,CUST-9701,paid
ORD-0061,2026-09-18,1208.45,CUST-9320,paid
ORD-0062,2026-09-18,798.7,CUST-4044,paid
ORD-0063,2026-09-18,3929.82,CUST-2122,paid
ORD-0064,2026-09-19,3538.46,CUST-4853,paid
ORD-0065,2026-09-20,4737.18,CUST-5033,paid
ORD-0066,2026-09-21,2386.51,CUST-9565,paid
ORD-0067,2026-09-21,1923.66,CUST-5272,paid
ORD-0068,2026-09-23,1574.09,CUST-7484,paid
ORD-0069,2026-09-25,2557.51,CUST-2188,paid
ORD-0070,2026-09-28,829.67,CUST-4492,paid
ORD-0071,2026-09-28,2776.48,CUST-3170,paid
ORD-0072,2026-09-29,4456.72,CUST-7054,paid
ORD-0073,2026-10-01,2471.83,CUST-9900,paid
ORD-0074,2026-10-03,3252.55,CUST-9666,paid
ORD-0075,2026-10-05,4692.9,CUST-2697,paid
ORD-0076,2026-10-07,1019.43,CUST-2753,paid
ORD-0077,2026-10-09,1725.57,CUST-4450,paid
ORD-0078,2026-10-11,3593.74,CUST-5325,paid
ORD-0079,2026-10-11,2774.34,CUST-5114,paid
ORD-0080,2026-10-12,3354.28,CUST-5533,paid
ORD-0081,2026-10-13,2001.0,CUST-3143,paid
ORD-0082,2026-10-15,3835.54,CUST-8007,paid
ORD-0083,2026-10-15,3024.08,CUST-2832,paid
ORD-0084,2026-08-04,662.13,CUST-7049,paid
ORD-0085,2026-08-07,2986.36,CUST-8041,paid
ORD-0086,2026-07-09,688.23,CUST-6974,paid
ORD-0087,2026-08-27,4698.9,CUST-1653,paid
ORD-0088,2026-08-27,2110.14,CUST-5088,paid
ORD-0089,2026-08-12,962.57,CUST-7658,paid
ORD-0090,2026-08-09,3872.65,CUST-4878,paid
ORD-0091,2026-08-25,1231.26,CUST-3900,paid
ORD-0092,2026-08-26,2355.32,CUST-3938,paid
ORD-0093,2026-08-17,4660.19,CUST-7745,paid
ORD-0094,2026-08-21,3514.58,CUST-5065,paid
ORD-0095,2026-07-18,1216.39,CUST-2771,paid
ORD-0096,2026-07-25,4424.75,CUST-8711,paid
