txn_id,value_date,utr,credited_amount,narration
TXN0001,2026-08-04,UTR202608000001,966.40,Razorpay Settlement UTR202608000001
TXN0002,2026-08-05,UTR202608000002,724.80,Razorpay Settlement UTR202608000002
TXN0003,2026-08-06,UTR202608000003,1691.20,Razorpay Settlement UTR202608000003
TXN0004,2026-08-07,UTR202608000004,2064.88,Razorpay Settlement UTR202608000004
TXN0005,2026-08-08,UTR202608000005,984.88,Razorpay Settlement UTR202608000005
TXN0006,2026-08-09,UTR202608000006,4043.17,Razorpay Settlement UTR202608000006
TXN0007,2026-08-10,UTR202608000007,2318.73,Razorpay Settlement UTR202608000007
TXN0008,2026-08-11,UTR202608000008,1972.44,Razorpay Settlement UTR202608000008
TXN0009,2026-08-13,UTR202608000009,4949.06,Razorpay Settlement UTR202608000009
TXN0010,2026-08-15,UTR202608000010,4187.45,Razorpay Settlement UTR202608000010
TXN0011,2026-08-17,UTR202608000011,4179.33,Razorpay Settlement UTR202608000011
TXN0012,2026-08-13,UTR202699000001,900.00,IMPS CREDIT UTR202699000001
TXN0013,2026-08-14,UTR202699000002,1027.00,IMPS CREDIT UTR202699000002
