settlement_id,utr,settlement_date,gross_amount,razorpay_fee,gst_on_fee,tds_deducted,net_amount
SET0001,UTR202608000001,2026-08-03,1000.00,20.00,3.60,10.00,966.40
SET0002,UTR202608000002,2026-08-04,750.00,15.00,2.70,7.50,724.80
SET0003,UTR202608000003,2026-08-05,1750.00,35.00,6.30,17.50,1691.20
SET0004,UTR202608000004,2026-08-06,2136.67,42.73,7.69,21.37,2064.88
SET0005,UTR202608000005,2026-08-07,1019.12,20.38,3.67,10.19,984.88
SET0006,UTR202608000006,2026-08-08,4183.75,83.68,15.06,41.84,4043.17
SET0007,UTR202608000007,2026-08-09,2399.35,47.99,8.64,23.99,2318.73
SET0008,UTR202608000008,2026-08-10,2041.02,41.82,7.35,20.41,1972.44
SET0009,UTR202608000009,2026-08-12,5121.13,102.42,18.44,51.21,4949.06
SET0010,UTR202608000010,2026-08-14,4333.04,86.66,15.60,43.33,4187.45
SET0011,UTR202608000011,2026-08-16,4324.64,86.49,15.57,43.25,4179.33
SET0012,UTR202608000012,2026-08-18,6252.98,125.06,22.51,62.53,6042.88
SET0013,UTR202608000013,2026-08-20,5981.84,119.64,21.54,59.82,5780.84
