order_id,order_date,gross_amount,customer_id,status
ORD0001,2026-08-01,1000.00,CUST1001,PAID
ORD0002,2026-08-02,750.00,CUST1002,PAID
ORD0003,2026-08-03,1750.00,CUST1003,PAID
ORD0004,2026-08-04,2136.67,CUST1004,PAID
ORD0005,2026-08-05,1019.12,CUST1005,PAID
ORD0006,2026-08-06,4183.75,CUST1006,PAID
ORD0007,2026-08-07,2399.35,CUST1007,PAID
ORD0008,2026-08-08,2041.02,CUST1008,PAID
ORD0009,2026-08-09,4526.82,CUST1009,PAID
ORD0010,2026-08-10,594.31,CUST1010,PAID
ORD0011,2026-08-11,2092.57,CUST1011,PAID
ORD0012,2026-08-12,2240.47,CUST1012,PAID
ORD0013,2026-08-13,637.96,CUST1013,PAID
ORD0014,2026-08-14,3686.68,CUST1014,PAID
ORD0015,2026-08-15,3090.52,CUST1015,PAID
